id;phone;email;address
1;311-266-2808 x456;Garret_Parisian@gmail.com;defiantly including
2;1-404-716-4292;Kayden_Mueller65@gmail.com;vice vaguely
3;(822) 455-1202;Janae_Quigley@yahoo.com;exotic times spook
4;967-240-9476 x507;Everardo.Gutmann39@hotmail.com;toward
5;1-586-719-9245;Malachi.Armstrong@yahoo.com;countess
6;600-244-4941 x462;Marjolaine.Senger59@gmail.com;why
7;839-445-3871;Flossie4@yahoo.com;synergy upset
8;932-595-5302;Desmond_Miller30@yahoo.com;wealthy
9;1-221-207-5674 x5953;Aglae_Sanford50@yahoo.com;for contravene
10;367.520.9561;Vidal.Schaden90@yahoo.com;provided whoever
